Age_Group,Gender,Department,Job_Level,Tenure,Work_Arrangement,Employment_Type,Training_Recency,Role_Specific_Training,Self_Rated_Knowledge,Phishing_Score,Phishing_Pass,Password_Change_Freq,MFA_Use,Personal_Device_Use,Report_Suspicious_Email,Admin_Privileges,Security_Culture_Perception,Stress_Level,Time_Pressure,IT_Support_Confidence,Incidents_Caused_Category,Incidents_Raw_Count,Security_Behavior_Tags
25-34,Non-binary,Operations,Intermediate,1-3 yrs,On-site,Permanent,> 12 mo,Yes,4,70,Yes,Always,Never,Often,Always,No,3,3,4,3,0,0,"Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Male,Operations,Entry,1-3 yrs,Hybrid,Permanent,6-12 mo,Yes,2,20,No,Never,Never,Often,Often,Yes,4,3,2,3,0,0,"Reports_Phishing,Personal_Device_Use,Admin_Priv"
25-34,Male,Finance,Intermediate,3-5 yrs,On-site,Contractor,> 12 mo,No,4,30,No,Sometimes,Never,Never,Always,Yes,3,3,3,5,1,1,"Reports_Phishing,Admin_Priv"
18-24,Prefer not to say,Operations,Entry,< 1 yr,Fully Remote,Permanent,6-12 mo,No,2,43,No,Often,Always,Often,Sometimes,No,2,3,3,4,2-3,3,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Remote_Work"
35-44,Male,Operations,Intermediate,3-5 yrs,Hybrid,Permanent,< 3 months,Yes,4,80,Yes,Often,Always,Always,Always,No,4,3,2,3,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Male,R&D,Entry,< 1 yr,On-site,Permanent,> 12 mo,No,1,68,Yes,Sometimes,Always,Rarely,Always,No,5,3,4,4,0,0,"Uses_MFA,Reports_Phishing"
55+,Female,Sales,Entry,< 1 yr,On-site,Permanent,3-6 mo,Yes,3,52,No,Rarely,Always,Never,Often,No,3,4,4,3,2-3,2,"Uses_MFA,Reports_Phishing"
45-54,Female,IT,Entry,1-3 yrs,Hybrid,Permanent,3-6 mo,Yes,4,87,Yes,Often,Always,Rarely,Rarely,Yes,3,2,5,5,0,0,"Uses_MFA,Early_Password_Change,Admin_Priv"
35-44,Male,Marketing,Entry,< 1 yr,Fully Remote,Contractor,6-12 mo,Yes,3,61,Yes,Sometimes,Sometimes,Always,Sometimes,No,2,2,5,4,2-3,2,"Uses_MFA,Personal_Device_Use,Remote_Work"
25-34,Female,Operations,Intermediate,5-10 yrs,Hybrid,Permanent,< 3 months,Yes,3,38,No,Often,Never,Rarely,Rarely,No,4,3,4,3,2-3,2,Early_Password_Change
35-44,Female,R&D,Director,> 10 yrs,On-site,Permanent,> 12 mo,Yes,5,64,Yes,Never,Sometimes,Rarely,Often,No,3,2,4,5,0,0,"Uses_MFA,Reports_Phishing"
55+,Female,Marketing,Director,> 10 yrs,Hybrid,Permanent,3-6 mo,Yes,4,86,Yes,Rarely,Sometimes,Always,Often,No,4,4,4,4,2-3,2,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Female,Sales,Intermediate,1-3 yrs,Hybrid,Permanent,< 3 months,No,3,87,Yes,Always,Always,Often,Always,No,2,2,4,4,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
35-44,Female,Sales,Entry,< 1 yr,Fully Remote,Permanent,6-12 mo,Yes,2,64,Yes,Often,Always,Sometimes,Sometimes,No,3,5,4,4,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Remote_Work"
25-34,Male,IT,Entry,< 1 yr,On-site,Contractor,6-12 mo,Yes,2,57,No,Sometimes,Always,Never,Often,No,4,4,2,3,2-3,2,"Uses_MFA,Reports_Phishing"
35-44,Female,Marketing,Director,5-10 yrs,On-site,Permanent,3-6 mo,Yes,5,100,Yes,Often,Never,Always,Always,Yes,2,1,2,4,0,0,"Early_Password_Change,Reports_Phishing,Personal_Device_Use,Admin_Priv"
45-54,Female,Operations,Entry,< 1 yr,Hybrid,Permanent,> 12 mo,No,4,80,Yes,Often,Always,Often,Rarely,No,3,3,4,3,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Male,Sales,Director,5-10 yrs,On-site,Contractor,< 3 months,Yes,5,60,Yes,Never,Always,Sometimes,Often,No,3,4,4,4,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
18-24,Male,Sales,Director,5-10 yrs,On-site,Permanent,> 12 mo,Yes,2,75,Yes,Always,Sometimes,Never,Rarely,No,2,2,5,3,>3,4,"Uses_MFA,Early_Password_Change"
25-34,Male,R&D,Entry,< 1 yr,On-site,Permanent,< 3 months,Yes,2,43,No,Sometimes,Sometimes,Sometimes,Never,No,3,5,3,5,0,0,"Uses_MFA,Personal_Device_Use"
18-24,Male,Marketing,Executive,3-5 yrs,Hybrid,Contractor,3-6 mo,Yes,4,43,No,Sometimes,Always,Sometimes,Rarely,Yes,3,5,5,3,0,0,"Uses_MFA,Personal_Device_Use,Admin_Priv"
25-34,Male,IT,Executive,> 10 yrs,Hybrid,Permanent,3-6 mo,No,4,76,Yes,Often,Never,Often,Rarely,No,4,3,5,5,0,0,"Early_Password_Change,Personal_Device_Use"
25-34,Male,Other,Entry,1-3 yrs,On-site,Contractor,> 12 mo,No,3,45,No,Sometimes,Always,Never,Rarely,No,5,5,4,4,0,0,Uses_MFA
35-44,Female,HR,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,No,3,39,No,Rarely,Always,Sometimes,Rarely,No,2,1,4,4,1,1,"Uses_MFA,Personal_Device_Use"
18-24,Female,Marketing,Intermediate,1-3 yrs,Fully Remote,Permanent,3-6 mo,No,3,34,No,Sometimes,Sometimes,Always,Always,No,3,3,4,5,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
25-34,Female,IT,Entry,1-3 yrs,On-site,Permanent,> 12 mo,Yes,4,59,No,Often,Always,Never,Always,No,2,2,2,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Male,IT,Manager,5-10 yrs,On-site,Contractor,> 12 mo,Yes,3,58,No,Rarely,Sometimes,Rarely,Always,No,3,4,3,3,2-3,3,"Uses_MFA,Reports_Phishing"
25-34,Female,Finance,Intermediate,< 1 yr,On-site,Permanent,3-6 mo,Yes,4,45,No,Sometimes,Always,Often,Often,Yes,4,4,4,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Admin_Priv"
25-34,Male,Marketing,Intermediate,> 10 yrs,Hybrid,Permanent,< 3 months,Yes,3,67,Yes,Often,Always,Rarely,Always,No,2,3,3,5,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Male,R&D,Intermediate,3-5 yrs,On-site,Permanent,< 3 months,Yes,3,54,No,Sometimes,Always,Never,Sometimes,No,4,2,4,4,0,0,Uses_MFA
25-34,Female,Other,Entry,3-5 yrs,On-site,Permanent,> 12 mo,Yes,3,57,No,Sometimes,Always,Always,Rarely,No,2,4,5,2,2-3,2,"Uses_MFA,Personal_Device_Use"
25-34,Female,IT,Manager,5-10 yrs,Hybrid,Permanent,> 12 mo,Yes,4,58,No,Sometimes,Always,Sometimes,Often,No,3,3,5,3,2-3,2,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
45-54,Male,Sales,Entry,1-3 yrs,Hybrid,Permanent,> 12 mo,No,2,46,No,Often,Always,Often,Always,No,4,5,3,5,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
35-44,Male,HR,Manager,3-5 yrs,On-site,Permanent,< 3 months,No,3,53,No,Sometimes,Always,Always,Always,No,3,4,1,5,>3,4,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Male,Sales,Manager,> 10 yrs,Fully Remote,Permanent,< 3 months,No,4,80,Yes,Always,Never,Often,Often,No,3,2,3,4,2-3,2,"Early_Password_Change,Reports_Phishing,Personal_Device_Use,Remote_Work"
25-34,Female,Sales,Entry,< 1 yr,Hybrid,Permanent,> 12 mo,Yes,3,21,No,Sometimes,Always,Sometimes,Always,No,2,3,2,5,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Female,R&D,Entry,< 1 yr,On-site,Permanent,6-12 mo,Yes,4,47,No,Sometimes,Always,Sometimes,Often,No,2,2,5,5,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,HR,Entry,< 1 yr,On-site,Permanent,< 3 months,Yes,4,56,No,Often,Always,Rarely,Always,No,4,5,5,3,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing"
45-54,Female,IT,Entry,< 1 yr,On-site,Permanent,3-6 mo,No,4,75,Yes,Often,Always,Rarely,Sometimes,No,4,3,4,3,1,1,"Uses_MFA,Early_Password_Change"
25-34,Male,Operations,Intermediate,< 1 yr,On-site,Permanent,6-12 mo,Yes,2,45,No,Rarely,Never,Sometimes,Always,No,1,5,2,4,2-3,3,"Reports_Phishing,Personal_Device_Use"
18-24,Female,R&D,Director,5-10 yrs,Hybrid,Permanent,< 3 months,No,3,53,No,Often,Always,Never,Always,No,2,4,3,3,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Male,R&D,Manager,3-5 yrs,On-site,Permanent,6-12 mo,Yes,3,35,No,Sometimes,Always,Often,Always,Yes,4,3,4,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Admin_Priv"
35-44,Male,Finance,Intermediate,1-3 yrs,On-site,Contractor,< 3 months,No,3,39,No,Often,Always,Often,Sometimes,No,4,4,5,3,2-3,2,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
45-54,Female,Marketing,Director,1-3 yrs,Hybrid,Permanent,> 12 mo,No,5,53,No,Sometimes,Sometimes,Often,Often,No,1,4,3,2,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,IT,Entry,1-3 yrs,Fully Remote,Permanent,6-12 mo,No,4,75,Yes,Often,Always,Often,Always,No,4,5,4,5,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Remote_Work"
35-44,Male,Other,Manager,3-5 yrs,Hybrid,Permanent,< 3 months,Yes,3,54,No,Often,Always,Rarely,Always,Yes,5,3,3,4,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Admin_Priv"
35-44,Female,Sales,Director,> 10 yrs,Hybrid,Permanent,< 3 months,No,3,51,No,Never,Always,Sometimes,Often,No,2,3,3,4,>3,4,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Male,IT,Manager,3-5 yrs,On-site,Permanent,6-12 mo,Yes,2,49,No,Rarely,Always,Never,Rarely,No,5,4,4,4,0,0,Uses_MFA
25-34,Female,Operations,Intermediate,< 1 yr,On-site,Permanent,< 3 months,No,3,80,Yes,Sometimes,Always,Often,Often,No,4,3,5,4,2-3,3,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Male,IT,Director,> 10 yrs,On-site,Permanent,< 3 months,Yes,4,70,Yes,Often,Sometimes,Often,Often,Yes,3,4,5,4,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Admin_Priv"
35-44,Female,Operations,Intermediate,> 10 yrs,On-site,Permanent,> 12 mo,Yes,5,65,Yes,Sometimes,Always,Rarely,Sometimes,Yes,4,3,4,1,0,0,"Uses_MFA,Admin_Priv"
25-34,Male,Operations,Manager,3-5 yrs,On-site,Intern,3-6 mo,Yes,2,48,No,Rarely,Always,Rarely,Always,No,4,3,5,2,0,0,"Uses_MFA,Reports_Phishing"
25-34,Male,Sales,Entry,5-10 yrs,Hybrid,Contractor,< 3 months,Yes,1,60,Yes,Sometimes,Always,Often,Often,No,3,5,4,4,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
